B_cell,CD14+_Monocyte,CD4+_T-cell,CD8+_T-cell,Dendritic_cell,FCGR3A+_Monocyte,HEK293T_cell,Megakaryocyte,NK_cell
MGAT5,VMP1,CCND3,SLFN12L,PLXDC2,AC104809.4,ROMO1,HIST1H2BJ,SYTL3
HLA-DPA1,AC007879.5,TESPA1,APOBEC3G,SH2B3,POU2F2,POLR2F,RASSF4,PLAC8
CD37,ARHGAP26,MAL,KLRG1,AC007192.4,S100A4,SNRPG,SAMD9,STAT4
UVRAG,ZFP36,CD6,CD2,PON2,SCHLAP1,CDKN2A,SPNS3,GNG2
HDAC9,GAB2,RPL9,ITGAL,IGSF6,RP1-93H18.7,ARHGAP4,CPEB2,HCST
CTD-2215E18.1,COTL1,RPL3,CD8A,RAB11FIP1,RP11-186B7.4,POLR2L,CTD-3214H19.4,PRKCH
KIAA0226L,CD36,RPS3A,CD3G,CD33,KYNU,PTTG1,HSDL1,TTC38
STAP1,ZEB2,CCR7,RP11-219B17.1,PTPRE,FGD2,CTD-2116N17.1,RNF125,CTB-91J4.1
NCOA3,HLA-DRA,ICOS,AE000661.37,LSP1,SLC11A1,SERBP1,PAN3,SYNE1
CAMK1D,SCHLAP1,ETS1,CD52,RP11-231C14.7,ADGRE1,NAA38,TMC8,CD38
COBLL1,CEBPD,RPS27A,SYTL2,DOCK5,FGR,PIN4,SNN,TOX
CD22,PTPRE,C12orf79,PITPNC1,GPAT3,LILRB1,PDCD5,RP11-348J24.2,LINGO2
RP11-659G9.3,STXBP2,RPL31,ATP2B4,AIF1,DMXL2,SNRPF,PARP10,MALAT1
RP11-693J15.4,GRN,RPS15A,PFN1,GNA15,NFKBIZ,PLS3,BCAS4,MYBL1
HLA-DRB1,RGS2,RPL13,MCTP2,GRN,LILRA5,NDUFA1,SLFN5,PPP2R5C
HLA-DQB1,CD83,AL162151.1,LYAR,SPECC1,STX11,CH507-528H12.1,BRF1,HLA-B
CPED1,RP11-142G7.1,RPS13,ATXN1,RILPL2,HLA-DPA1,SOX9-AS1,TRAM2,RUNX3
VPREB3,TBXAS1,SCML4,FYN,NRROS,PYCARD,CCT3,STOM,LAIR2
PLEKHA2,DUSP1,PITPNC1,PPP1R16B,FGD2,PLXDC2,CTD-2515O10.6,MAML2,GZMM
FCRL2,CFD,TPT1,TOX,LGALS9,FCN1,UBE2SP1,ARHGAP30,CD300A
CNR2,NPC2,RPL32,CORO1B,WDFY4,BCL2A1,ARMC7,AIF1,PFN1
