Cell type,Symbol
CD4+_T-cell,PCED1B
CD4+_T-cell,TXK
CD4+_T-cell,LEPROTL1
CD4+_T-cell,RPL21
CD4+_T-cell,DOCK10
CD4+_T-cell,NOG
CD4+_T-cell,AC005062.3
CD4+_T-cell,FOXP1
CD4+_T-cell,AC092155.1
CD4+_T-cell,TRAC
CD4+_T-cell,RPS6
CD4+_T-cell,SARAF
CD4+_T-cell,RP11-493L12.2
CD4+_T-cell,TGFBR2
CD4+_T-cell,FAM102A
CD4+_T-cell,MGAT4A
CD4+_T-cell,RP11-622O11.2
CD4+_T-cell,CSGALNACT1
CD4+_T-cell,RPS12
CD4+_T-cell,RPS25
CD4+_T-cell,RPS27
CD4+_T-cell,TRBC2
CD4+_T-cell,RPL34
CD4+_T-cell,ARHGAP15
CD4+_T-cell,RP11-761N21.2
CD4+_T-cell,TNFAIP8
CD4+_T-cell,RPS29
CD4+_T-cell,CD3D
CD4+_T-cell,CD3E
CD4+_T-cell,CTD-2287O16.1
CD4+_T-cell,CD3G
CD4+_T-cell,GAS5
CD4+_T-cell,ZNF331
CD4+_T-cell,RP11-543P15.1
CD4+_T-cell,CCND3
CD4+_T-cell,TESPA1
CD4+_T-cell,MAL
CD4+_T-cell,CD6
CD4+_T-cell,RPL9
CD4+_T-cell,RPL3
CD4+_T-cell,RPS3A
CD4+_T-cell,CCR7
CD4+_T-cell,ICOS
CD4+_T-cell,ETS1
CD4+_T-cell,RPS27A
CD4+_T-cell,C12orf79
CD4+_T-cell,RPL31
CD4+_T-cell,RPS15A
CD4+_T-cell,RPL13
CD4+_T-cell,AL162151.1
CD4+_T-cell,RPS13
CD4+_T-cell,SCML4
CD4+_T-cell,PITPNC1
CD4+_T-cell,TPT1
CD4+_T-cell,RPL32
CD4+_T-cell,C14orf64
CD4+_T-cell,RPL13P12
CD4+_T-cell,CYTH1
CD4+_T-cell,RP11-864N7.2
CD4+_T-cell,RPL7
CD4+_T-cell,RPS14
CD4+_T-cell,SKAP1
CD4+_T-cell,RPL7P23p
CD4+_T-cell,RPS20
CD4+_T-cell,EEF1A1P5
CD4+_T-cell,RPS26
CD4+_T-cell,RPL13A
CD4+_T-cell,RPS26P31
CD4+_T-cell,RP4-706A16.3
CD4+_T-cell,EEF1B2
CD4+_T-cell,RPL10A
CD4+_T-cell,RP11-592N21.1
CD4+_T-cell,RPL11
CD4+_T-cell,RPLP2
CD4+_T-cell,STEAP1B
CD4+_T-cell,RPL17-C18orf32
CD4+_T-cell,EEF1G
CD8+_T-cell,CCL5
CD8+_T-cell,GNLY
CD8+_T-cell,NKG7
CD8+_T-cell,KLRB1
CD8+_T-cell,A2M
CD8+_T-cell,IL32
CD8+_T-cell,GZMA
CD8+_T-cell,GZMH
CD8+_T-cell,TGFBR3
CD8+_T-cell,KLRD1
CD8+_T-cell,CST7
CD8+_T-cell,PZP
CD8+_T-cell,AC015849.2
CD8+_T-cell,KLRC4-KLRK1
CD8+_T-cell,TRGC2
CD8+_T-cell,SAMD3
CD8+_T-cell,PPP2R5C
CD8+_T-cell,SYNE2
CD8+_T-cell,MYBL1
CD8+_T-cell,HCST
CD8+_T-cell,CTSW
CD8+_T-cell,AC092580.4
CD8+_T-cell,CCL4
CD8+_T-cell,SYNE1
CD8+_T-cell,TRDC
CD8+_T-cell,CD3D
CD8+_T-cell,PPP2R2B
CD8+_T-cell,PIP4K2A
CD8+_T-cell,HLA-C
CD8+_T-cell,FGFBP2
CD8+_T-cell,B2M
CD8+_T-cell,HOPX
CD8+_T-cell,PRKCH
CD8+_T-cell,TRGC1
CD8+_T-cell,HLA-B
CD8+_T-cell,IFITM2
CD8+_T-cell,PRF1
CD8+_T-cell,FCRL6
CD8+_T-cell,S100A4
CD8+_T-cell,TMSB4X
CD8+_T-cell,MALAT1
CD8+_T-cell,NCALD
CD8+_T-cell,GZMM
CD8+_T-cell,MYO1F
CD8+_T-cell,CBLB
CD8+_T-cell,HLA-A
CD8+_T-cell,PYHIN1
CD8+_T-cell,RAP1GAP2
CD8+_T-cell,STAT4
CD8+_T-cell,CD247
CD8+_T-cell,PARP8
CD8+_T-cell,RUNX3
CD8+_T-cell,DUSP2
CD8+_T-cell,RP11-36B6.2
CD8+_T-cell,GZMB
CD8+_T-cell,SKAP1
CD8+_T-cell,IQGAP2
CD8+_T-cell,SLFN12L
CD8+_T-cell,APOBEC3G
CD8+_T-cell,KLRG1
CD8+_T-cell,CD2
CD8+_T-cell,ITGAL
CD8+_T-cell,CD8A
CD8+_T-cell,CD3G
CD8+_T-cell,RP11-219B17.1
CD8+_T-cell,AE000661.37
CD8+_T-cell,CD52
CD8+_T-cell,SYTL2
CD8+_T-cell,PITPNC1
CD8+_T-cell,ATP2B4
CD8+_T-cell,PFN1
CD8+_T-cell,MCTP2
CD8+_T-cell,LYAR
CD8+_T-cell,ATXN1
CD8+_T-cell,FYN
CD8+_T-cell,PPP1R16B
CD8+_T-cell,TOX
CD8+_T-cell,CORO1B
CD8+_T-cell,GNG2
CD8+_T-cell,RABGAP1L
CD8+_T-cell,KLRF1
CD8+_T-cell,MYL12A
CD8+_T-cell,RARRES3
CD8+_T-cell,CALM1
CD8+_T-cell,PTPRC
CD8+_T-cell,SPON2
CD8+_T-cell,CD3E
CD8+_T-cell,SYTL3
CD8+_T-cell,PLCB1
